Toyota;Aygo;1000;790;99;2008
Mitsubishi;Space Star;1200;1160;95;2017
Skoda;Citigo;1000;929;95;2019
Fiat;500;900;865;90;2008
Mini;Cooper;1500;1140;105;2005
VW;Up!;1000;929;105;2004
Skoda;Fabia;1400;1109;90;2019
Mercedes;A-Class;1500;1365;92;2017
Ford;Fiesta;1500;1112;98;2011
Audi;A1;1600;1150;99;2019
Hyundai;I20;1100;980;99;2003
Suzuki;Swift;1300;990;101;2007
Ford;Fiesta;1000;1112;99;2006
Honda;Civic;1600;1252;94;2017
Hundai;I30;1600;1326;97;2018
Opel;Astra;1600;1330;97;2011
BMW;1;1600;1365;99;2021
Mazda;3;2200;1280;104;2006
Skoda;Rapid;1600;1119;104;2004
Ford;Focus;2000;1328;105;2014
Ford;Mondeo;1600;1584;94;2017
Opel;Insignia;2000;1428;99;2018
Mercedes;C-Class;2100;1365;99;2005
Skoda;Octavia;1600;1415;99;2006
Volvo;S60;2000;1415;99;2002
Mercedes;CLA;1500;1465;102;2012
Audi;A4;2000;1490;104;2009
Audi;A6;2000;1725;114;2005
Volvo;V70;1600;1523;109;2019
BMW;5;2000;1705;114;2017
Mercedes;E-Class;2100;1605;115;2014
Volvo;XC70;2000;1746;117;2014
Ford;B-Max;1600;1235;104;2014
BMW;2;1600;1390;108;2008
Opel;Zafira;1600;1405;109;2007
Mercedes;SLK;2500;1395;120;2003
